 ,Image_ID,ROI_Area,PVALB,VIP,GFRA1,CCKAR,MET,PIEZO1,CHAT,FOXO1,SLC17a7,CDH13,QRFPR,Mab21L1
3638,20-62-S1,2432,0.288,0.041,0,0.123,2.056,1.604,0.164,0.863,29.975,0.822,0.535,0.041
3639,20-62-S1,1335,0.375,0.15,0,0.375,4.794,1.648,0.3,0.225,14.532,0.375,0.974,0
3640,20-62-S1,1034,0.58,0,0,0.097,0.774,0.774,0,0.484,0.387,0,0,0
3641,20-62-S1,1806,0.111,0.111,0,0.332,2.602,0.941,0,0.055,11.794,0.166,0.111,0.166
3642,20-62-S1,1333,0.825,0,0,0,0.225,0.3,0,0.225,0.975,12.003,0.15,0
3643,20-62-S1,786,0.127,0,0,0,0.382,1.018,0,0,20.738,0,0,0
3644,20-62-S1,1470,1.429,0,0,0.136,1.769,0.816,0.272,0,3.401,2.993,0.136,0
3645,20-62-S1,894,0,0,0,0.112,3.803,0.447,0,0.336,9.62,6.488,0.559,0
3646,20-62-S1,1657,27.399,0,0,0.181,0,0.966,0.06,1.026,1.448,1.448,0.362,0
3647,20-62-S1,1332,0,0,0,0,0.15,0.375,0,0.15,0.751,8.408,0.075,0
3648,20-62-S1,1601,0.25,0.187,0,0.187,0.312,0.375,0,1.624,29.606,0.125,0.187,0
3649,20-62-S1,3307,0.03,0,0,0.03,2.449,1.179,0,0.121,24.252,16.269,2.268,0.03
3650,20-62-S1,199,0,0,0,0,0,0,0,0,10.05,0,2.513,0
3651,20-62-S1,338,1.479,0,0,0,0.296,0.592,0,0,13.905,0,0.592,0
3652,20-62-S1,1806,0,0.166,0,0.111,1.44,0.831,0.221,1.495,24.585,0.554,0.388,0
3653,20-62-S1,1268,0.631,0,0,0.079,0.079,0.473,0,0,3.549,2.445,0.079,0.079
3654,20-62-S1,446,0,0,0,0,0,0,0.224,0,0,0,0,0
3655,20-62-S1,1450,0.552,0,0,0.069,2.621,0.483,0,0,21.172,0.621,0.966,0
3656,20-62-S1,2682,0.671,0.075,0,0.075,0.149,2.535,0.261,0.261,22.148,0.895,1.641,0.075
3657,20-62-S1,1309,1.375,0,0,0,0.382,1.986,0,0.076,1.299,0.535,0,0.076
3658,20-62-S1,862,0,0,0,0,0,0.58,0,0,4.988,0.464,0.232,0
3659,20-62-S1,1783,0.112,0,0,0.056,1.29,0.561,0,0,37.072,1.066,0,0
